module	name	pathway group	Algiphilus_aromaticivorans_DG1253_APAlg.faa.ko	Algiphilus_sp_SW459_GCF_023145115.1.faa.ko	Arenibacter_algicola_GCF_002234495.1.faa.ko	Arenibacter_algicola_GCF_006789585.1.faa.ko	Arenibacter_algicola_GCF_018860365.1.faa.ko	Arenibacter_algicola_TG409_APAre.faa.ko	Arenibacter_echinorum_GCF_003259375.1.faa.ko	Arenibacter_sp_NBRC_GCF_001748465.2.faa.ko	Halomonas_alkaliantarctica_GCF_029854215.1.faa.ko	Halomonas_hibernica_GCF_013183775.1.faa.ko	Halomonas_sp._TG39a_APHal.faa.ko	Halomonas_ventosae_GCF_002257525.1.faa.ko	Halomonas_ventosae_GCF_004363555.1.faa.ko	Marinobacter_algicola_DG893_GCF_000170835.1.faa.ko	Marinobacter_salarius_GCF_000831005.1.faa.ko	Marinobacter_salarius_GCF_002116735.1.faa.ko	Marinobacter_salarius_GCF_003986605.1.faa.ko	Marinobacter_sediminicola_GCF_031157525.1.faa.ko	Marinobacter_sp_strain_MCTG268_APMar.faa.ko	Marinobacter_xiaoshiensis_GCF_031631795.1.faa.ko	Oceanicola_granulosus_HTCC2516_GCF_000153305.1.faa.ko	Oceanicola_sp._D3_GCF_006351965.1.faa.ko	Oceanicola_sp_MCTG1561a_APOce.faa.ko	Porticoccus_hydrocarbonoclasticus_MCTG13d_APPor.faa.ko	Porticoccus_litoralis_GCF_030676955.1.faa.ko	Roseovarius_indicus_GCF_008728195.1.faa.ko	Roseovarius_mucosus_DSM_17069_GCF_000768555.3.faa.ko	Roseovarius_nanhaiticus_GCF_900156535.1.faa.ko	Roseovarius_sp_217_GCF_000152845.1.faa.ko	Roseovarius_sp_GCF_018066915.1.faa.ko	Roseovarius_sp_MCTG1562b_APRos.faa.ko
M00024	Phenylalanine biosynthesis, chorismate => phenylalanine	Aromatic amino acid metabolism	50.0	50.0	66.67	66.67	66.67	66.67	66.67	66.67	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	66.67	66.67	66.67	50.0	33.33	66.67	66.67	66.67	66.67	66.67	66.67
M00025	Tyrosine biosynthesis, chorismate => tyrosine	Aromatic amino acid metabolism	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	66.67	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
M00037	Melatonin biosynthesis, tryptophan => serotonin => melatonin	Aromatic amino acid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	Aromatic amino acid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	14.29	0.0	14.29	14.29	14.29	14.29	0.0	14.29	14.29	0.0	14.29	0.0	0.0	0.0	14.29	0.0	0.0	0.0	0.0	0.0
M00040	Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine	Aromatic amino acid metabolism	50.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	50.0	50.0	50.0	0.0	0.0	50.0	50.0	50.0	50.0	50.0	50.0
M00042	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	Aromatic amino acid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00043	Thyroid hormone biosynthesis, tyrosine => triiodothyronine--thyroxine	Aromatic amino acid metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00044	Tyrosine degradation, tyrosine => homogentisate	Aromatic amino acid metabolism	0.0	0.0	20.0	20.0	20.0	20.0	20.0	20.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0
M00533	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	Aromatic amino acid metabolism	0.0	0.0	25.0	25.0	25.0	25.0	25.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	Aromatic amino acid metabolism	16.67	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.67	16.67	0.0	16.67	50.0	16.67	16.67	0.0	16.67	0.0	0.0	0.0	50.0	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0
M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00419	Cymene degradation, p-cymene => p-cumate	Aromatics degradation	50.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00534	Naphthalene degradation, naphthalene => salicylate	Aromatics degradation	37.5	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17	16.67	0.0	16.67	0.0	0.0	0.0	0.0	0.0	4.17	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00537	Xylene degradation, xylene => methylbenzoate	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	16.67	0.0	0.0	50.0	16.67	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00538	Toluene degradation, toluene => benzoate	Aromatics degradation	5.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.89	5.56	0.0	5.56	50.0	5.56	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	Aromatics degradation	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	20.0
M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	Aromatics degradation	6.25	6.25	0.0	0.0	6.25	0.0	0.0	6.25	6.25	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	6.25	0.0	0.0	0.0	6.25	6.25	6.25	6.25	6.25
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	Aromatics degradation	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00547	Benzene--toluene degradation, benzene => catechol -- toluene => 3-methylcatechol	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00548	Benzene degradation, benzene => catechol	Aromatics degradation	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.67	50.0	50.0	50.0	0.0	50.0	66.67	0.0	0.0	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00551	Benzoate degradation, benzoate => catechol -- methylbenzoate => methylcatechol	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	16.67	33.33	33.33	33.33	33.33	33.33	0.0	0.0	0.0	0.0	16.67	16.67	0.0	0.0	0.0	33.33	0.0	50.0	0.0	33.33
M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	25.0	100.0	50.0	75.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	50.0	0.0	0.0	25.0	50.0	50.0	50.0	50.0	75.0
M00569	Catechol meta-cleavage, catechol => acetyl-CoA -- 4-methylcatechol => propanoyl-CoA	Aromatics degradation	60.0	60.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.43	57.14	57.14	57.14	0.0	71.43	71.43	0.0	28.57	57.14	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
M00623	Phthalate degradation 1, phthalate => protocatechuate	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.67	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0
M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate	Aromatics degradation	16.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00636	Phthalate degradation 2, phthalate => protocatechuate	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	8.33	8.33	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	8.33	0.0	0.0	8.33	8.33	8.33	8.33	8.33	8.33
M00637	Anthranilate degradation, anthranilate => catechol	Aromatics degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00638	Salicylate degradation, salicylate => gentisate	Aromatics degradation	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA--succinyl-CoA	Aromatics degradation	0.0	0.0	28.57	28.57	28.57	28.57	42.86	28.57	14.29	0.0	28.57	28.57	14.29	51.43	28.57	51.43	28.57	0.0	28.57	0.0	0.0	37.14	14.29	0.0	0.0	51.43	28.57	14.29	28.57	14.29	14.29
M00142	NADH:ubiquinone oxidoreductase, mitochondria	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.29	14.29	14.29	0.0	0.0	14.29	14.29	14.29	14.29	14.29	14.29
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein--flavoprotein complex, mitochondria	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	9.09	9.09	9.09	9.09	9.09	0.0	36.36	18.18	27.27	0.0	0.0	27.27	27.27	27.27	27.27	27.27	27.27
M00144	NADH:quinone oxidoreductase, prokaryotes	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.09	18.18	27.27	0.0	53.85	41.67	46.15	38.46	9.09	53.85	9.09	53.85	50.0	46.15	0.0	0.0	61.54	61.54	61.54	61.54	61.54	61.54
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0	14.29	0.0	0.0	0.0	21.43	0.0	14.29	7.14	14.29	0.0	0.0	21.43	21.43	21.43	21.43	21.43	14.29
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00148	Succinate dehydrogenase (ubiquinone)	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00149	Succinate dehydrogenase, prokaryotes	ATP synthesis	50.0	50.0	25.0	25.0	25.0	25.0	25.0	25.0	50.0	50.0	75.0	75.0	25.0	25.0	50.0	50.0	50.0	25.0	25.0	25.0	50.0	50.0	50.0	50.0	25.0	50.0	50.0	50.0	50.0	50.0	50.0
M00150	Fumarate reductase, prokaryotes	ATP synthesis	25.0	0.0	25.0	25.0	25.0	25.0	25.0	25.0	50.0	50.0	50.0	50.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	0.0	0.0	0.0	0.0	25.0	0.0	50.0	0.0	50.0	50.0	0.0
M00151	Cytochrome bc1 complex respiratory unit	ATP synthesis	33.33	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	50.0	50.0	50.0	33.33	33.33	50.0	50.0	50.0	50.0	0.0	50.0
M00152	Cytochrome bc1 complex	ATP synthesis	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	11.11	11.11	11.11	10.0	10.0	11.11	11.11	11.11	11.11	0.0	11.11
M00153	Cytochrome bd ubiquinol oxidase	ATP synthesis	33.33	33.33	0.0	0.0	66.67	0.0	66.67	0.0	66.67	66.67	66.67	66.67	66.67	33.33	33.33	33.33	33.33	33.33	33.33	33.33	66.67	66.67	33.33	33.33	0.0	66.67	0.0	66.67	0.0	0.0	0.0
M00154	Cytochrome c oxidase	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.75	0.0	0.0	0.0	0.0	0.0	0.0
M00155	Cytochrome c oxidase, prokaryotes	ATP synthesis	50.0	50.0	33.33	33.33	33.33	33.33	33.33	33.33	50.0	0.0	50.0	50.0	50.0	50.0	33.33	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	25.0	50.0	50.0	33.33
M00156	Cytochrome c oxidase, cbb3-type	ATP synthesis	50.0	50.0	25.0	25.0	25.0	25.0	25.0	25.0	50.0	0.0	50.0	50.0	50.0	50.0	33.33	50.0	50.0	33.33	50.0	33.33	0.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0
M00157	F-type ATPase, prokaryotes and chloroplasts	ATP synthesis	12.5	0.0	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	0.0	12.5	12.5	50.0	12.5	12.5	12.5	12.5	12.5	12.5
M00158	F-type ATPase, eukaryotes	ATP synthesis	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	0.0	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88	5.88
M00159	V-type ATPase, prokaryotes	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00160	V-type ATPase, eukaryotes	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00162	Cytochrome b6f complex	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00416	Cytochrome aa3-600 menaquinol oxidase	ATP synthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	75.0	50.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	25.0
M00417	Cytochrome o ubiquinol oxidase	ATP synthesis	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0
M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin	Beta-Lactam biosynthesis	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	33.33	0.0	33.33	33.33	0.0	0.0	0.0	33.33	33.33	0.0	0.0	0.0	0.0	0.0	33.33	33.33	0.0	33.33	0.0	0.0
M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	Beta-Lactam biosynthesis	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.5	12.5	0.0	12.5	12.5	0.0	0.0	0.0	12.5	12.5	0.0	12.5	0.0	0.0	0.0	12.5	12.5	0.0	12.5	0.0	0.0
M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	Beta-Lactam biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	Beta-Lactam biosynthesis	33.33	33.33	33.33	33.33	33.33	33.33	33.33	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	Beta-Lactam biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	33.33	33.33	0.0	0.0	8.33	8.33	16.67	0.0	0.0	0.0	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00039	Monolignol biosynthesis, phenylalanine--tyrosine => monolignol	Biosynthesis of other secondary metabolites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00137	Flavanone biosynthesis, phenylalanine => naringenin	Biosynthesis of other secondary metabolites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00138	Flavonoid biosynthesis, naringenin => pelargonidin	Biosynthesis of other secondary metabolites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin	Biosynthesis of other secondary metabolites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M00661	Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline	Biosynthesis of other secondary metabolites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
